"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0,10.0,0.0,0.0,10.0,41.0,7.0
0.0,10.0,0.0,0.0,10.0,41.0,6.0
0.0,10.0,0.0,0.0,10.0,41.0,5.0
0.0,10.0,0.0,0.0,10.0,38.0,14.0
0.0,10.0,0.0,0.0,10.0,39.0,1.0
0.0,10.0,0.0,0.0,10.0,40.0,18.0
0.0,10.0,0.0,0.0,10.0,41.0,4.0
0.0,10.0,0.0,0.0,10.0,38.0,15.0
0.0,10.0,0.0,0.0,10.0,42.0,0.0
0.0,10.0,0.0,0.0,10.0,37.0,19.0
0.0,10.0,0.0,0.0,10.0,37.0,0.0
0.0,10.0,0.0,0.0,10.0,42.0,19.0
0.0,10.0,0.0,0.0,10.0,39.0,12.0
0.0,10.0,0.0,0.0,10.0,40.0,12.0
0.0,10.0,0.0,0.0,10.0,38.0,0.0
0.0,10.0,0.0,0.0,10.0,41.0,18.0
0.0,10.0,0.0,0.0,10.0,40.0,2.0
0.0,10.0,0.0,0.0,10.0,41.0,0.0
0.0,10.0,0.0,0.0,10.0,39.0,17.0
0.0,10.0,0.0,0.0,10.0,38.0,18.0
0.0,10.0,0.0,0.0,10.0,41.0,11.0
0.0,10.0,0.0,0.0,10.0,38.0,8.0
0.0,10.0,0.0,0.0,10.0,41.0,13.0
0.0,10.0,0.0,0.0,10.0,41.0,7.0
0.0,10.0,0.0,0.0,10.0,38.0,5.0
0.0,10.0,0.0,0.0,10.0,38.0,12.0
0.0,10.0,0.0,0.0,10.0,38.0,18.0
0.0,10.0,0.0,0.0,10.0,41.0,1.0
0.0,10.0,0.0,0.0,10.0,41.0,4.0
0.0,10.0,0.0,0.0,10.0,38.0,15.0
0.0,10.0,0.0,0.0,10.0,38.0,9.0
0.0,10.0,0.0,0.0,10.0,41.0,10.0
0.0,10.0,0.0,0.0,10.0,39.0,2.0
0.0,10.0,0.0,0.0,10.0,40.0,17.0
0.0,10.0,0.0,0.0,10.0,40.0,13.0
0.0,10.0,0.0,0.0,10.0,39.0,14.0
0.0,10.0,0.0,0.0,10.0,39.0,16.0
0.0,10.0,0.0,0.0,10.0,39.0,15.0
0.0,10.0,0.0,0.0,10.0,40.0,14.0
0.0,10.0,0.0,0.0,10.0,40.0,15.0
0.0,10.0,0.0,0.0,10.0,41.0,16.0
0.0,10.0,0.0,0.0,10.0,39.0,11.0
0.0,10.0,0.0,0.0,10.0,40.0,11.0
0.0,10.0,0.0,0.0,10.0,39.0,10.0
0.0,10.0,0.0,0.0,10.0,40.0,9.0
0.0,10.0,0.0,0.0,10.0,39.0,9.0
0.0,10.0,0.0,0.0,10.0,40.0,8.0
0.0,10.0,0.0,0.0,10.0,39.0,7.0
0.0,10.0,0.0,0.0,10.0,40.0,7.0
0.0,10.0,0.0,0.0,10.0,39.0,6.0
0.0,10.0,0.0,0.0,10.0,40.0,5.0
0.0,10.0,0.0,0.0,10.0,40.0,3.0
0.0,10.0,0.0,0.0,10.0,40.0,4.0
0.0,10.0,0.0,0.0,10.0,39.0,5.0
0.0,10.0,0.0,0.0,10.0,39.0,3.0
0.0,10.0,0.0,0.0,10.0,38.0,3.0
0.0,10.0,0.0,0.0,10.0,38.0,1.0
0.0,10.0,0.0,0.0,10.0,41.0,17.0
0.0,10.0,0.0,0.0,10.0,38.0,16.0
0.0,10.0,0.0,0.0,10.0,41.0,3.0
0.0,10.0,0.0,0.0,10.0,38.0,7.0
0.0,10.0,0.0,0.0,10.0,41.0,5.0
0.0,10.0,0.0,0.0,10.0,41.0,12.0
0.0,10.0,0.0,0.0,10.0,41.0,15.0
0.0,10.0,0.0,0.0,10.0,41.0,8.0
0.0,10.0,0.0,0.0,10.0,38.0,4.0
0.0,10.0,0.0,0.0,10.0,38.0,11.0
0.0,10.0,0.0,0.0,10.0,38.0,13.0
0.0,10.0,0.0,0.0,10.0,40.0,0.0
0.0,10.0,0.0,0.0,10.0,39.0,18.0
0.0,4.0,0.0,0.0,10.0,43.0,18.0
0.0,4.0,0.0,0.0,10.0,43.0,17.0
0.0,4.0,0.0,0.0,10.0,43.0,15.0
0.0,4.0,0.0,0.0,10.0,43.0,14.0
0.0,4.0,0.0,0.0,10.0,43.0,13.0
0.0,4.0,0.0,0.0,10.0,43.0,11.0
0.0,4.0,0.0,0.0,10.0,43.0,10.0
0.0,4.0,0.0,0.0,10.0,43.0,9.0
0.0,4.0,0.0,0.0,10.0,43.0,7.0
0.0,4.0,0.0,0.0,10.0,43.0,6.0
0.0,4.0,0.0,0.0,10.0,43.0,5.0
0.0,4.0,0.0,0.0,10.0,43.0,3.0
0.0,4.0,0.0,0.0,10.0,43.0,2.0
0.0,4.0,0.0,0.0,10.0,43.0,1.0
0.0,5.0,0.0,0.0,10.0,41.0,0.0
0.0,5.0,0.0,0.0,10.0,40.0,0.0
0.0,4.0,0.0,0.0,10.0,39.0,0.0
0.0,4.0,0.0,0.0,10.0,38.0,0.0
0.0,4.0,0.0,0.0,10.0,37.0,18.0
0.0,4.0,0.0,0.0,10.0,37.0,17.0
0.0,4.0,0.0,0.0,10.0,37.0,15.0
0.0,4.0,0.0,0.0,10.0,37.0,14.0
0.0,4.0,0.0,0.0,10.0,37.0,13.0
0.0,4.0,0.0,0.0,10.0,37.0,11.0
0.0,4.0,0.0,0.0,10.0,37.0,10.0
0.0,4.0,0.0,0.0,10.0,37.0,9.0
0.0,4.0,0.0,0.0,10.0,37.0,7.0
0.0,4.0,0.0,0.0,10.0,37.0,6.0
0.0,4.0,0.0,0.0,10.0,37.0,5.0
0.0,4.0,0.0,0.0,10.0,37.0,3.0
0.0,3.0,0.0,0.0,10.0,37.0,2.0
0.0,5.0,0.0,0.0,10.0,37.0,1.0
0.0,5.0,0.0,0.0,10.0,41.0,19.0
0.0,5.0,0.0,0.0,10.0,40.0,19.0
0.0,4.0,0.0,0.0,10.0,39.0,19.0
0.0,4.0,0.0,0.0,10.0,38.0,19.0
0.0,1.0,0.0,0.0,10.0,43.0,0.0
0.0,1.0,0.0,0.0,10.0,37.0,0.0
0.0,1.0,0.0,0.0,10.0,37.0,19.0
0.0,1.0,0.0,0.0,10.0,43.0,19.0
